iter	Passed	Remaining
0	66	6538
1	71	3506
2	76	2472
3	81	1953
4	86	1635
5	91	1428
6	96	1279
7	101	1164
8	105	1066
9	109	987
10	114	928
11	119	875
12	124	831
13	128	792
14	133	754
15	137	721
16	142	695
17	147	671
18	153	652
19	157	631
20	162	612
21	166	591
22	171	573
23	176	557
24	180	541
25	184	526
26	189	513
27	194	500
28	198	487
29	203	474
30	207	462
31	211	450
32	216	438
33	220	428
34	224	417
35	229	407
36	233	397
37	237	387
38	241	378
39	245	368
40	250	360
41	254	351
42	258	343
43	263	335
44	267	326
45	271	318
46	276	311
47	280	303
48	284	296
49	288	288
50	293	282
51	297	274
52	301	267
53	306	260
54	310	254
55	315	247
56	319	240
57	323	234
58	328	227
59	332	221
60	336	215
61	340	208
62	344	202
63	348	196
64	353	190
65	357	184
66	362	178
67	366	172
68	371	166
69	375	160
70	379	155
71	384	149
72	388	143
73	392	137
74	396	132
75	401	126
76	406	121
77	412	116
78	417	110
79	421	105
80	425	99
81	429	94
82	433	88
83	437	83
84	441	77
85	445	72
86	449	67
87	453	61
88	458	56
89	462	51
90	467	46
91	471	41
92	476	35
93	480	30
94	484	25
95	488	20
96	492	15
97	497	10
98	501	5
99	505	0
